## ROI	Slice	EdU	X	Y	Cy5	FociPerCell	Condition
48	7	18750.57395547423	108.0	270.0	2076	4	Ctrl
48	7	18750.57395547423	166.0	217.0	2078	4	Ctrl
48	7	18750.57395547423	194.0	287.0	2068	4	Ctrl
49	7	12489.12037037037	521.0	408.0	1674	1	Ctrl
50	7	563.6950745641672	657.0	483.0	347	1	Ctrl
51	7	589.2690277671537	193.0	542.0	276	1	Ctrl
52	7	16592.88717143662	430.0	653.0	2224	4	Ctrl
52	7	16592.88717143662	454.0	633.0	3196	4	Ctrl
52	7	16592.88717143662	455.0	618.0	2774	4	Ctrl
52	7	16592.88717143662	499.0	676.0	3164	4	Ctrl
53	7	5546.766934383998	820.0	779.0	1640	1	Ctrl
54	7	10485.085987119697	487.0	840.0	3637	2	Ctrl
54	7	10485.085987119697	610.0	828.0	2325	2	Ctrl
55	8	39330.75615651911	660.0	59.0	2789	16	Ctrl
55	8	39330.75615651911	667.0	79.0	2367	16	Ctrl
55	8	39330.75615651911	674.0	70.0	2193	16	Ctrl
55	8	39330.75615651911	696.0	57.0	3416	16	Ctrl
55	8	39330.75615651911	703.0	36.0	2635	16	Ctrl
55	8	39330.75615651911	709.0	166.0	1765	16	Ctrl
55	8	39330.75615651911	710.0	96.0	2581	16	Ctrl
55	8	39330.75615651911	716.0	89.0	2660	16	Ctrl
55	8	39330.75615651911	722.0	134.0	2555	16	Ctrl
55	8	39330.75615651911	734.0	74.0	2121	16	Ctrl
55	8	39330.75615651911	742.0	57.0	2858	16	Ctrl
55	8	39330.75615651911	744.0	94.0	2033	16	Ctrl
55	8	39330.75615651911	753.0	83.0	2043	16	Ctrl
55	8	39330.75615651911	773.0	115.0	2372	16	Ctrl
55	8	39330.75615651911	790.0	175.0	1597	16	Ctrl
55	8	39330.75615651911	807.0	122.0	1690	16	Ctrl
56	8	29740.634545063454	153.0	497.0	3208	10	Ctrl
56	8	29740.634545063454	167.0	439.0	1762	10	Ctrl
56	8	29740.634545063454	169.0	482.0	2070	10	Ctrl
