 	ROI	Area/um^2	EdU_Mean	DAPI_Mean	Slice	MeanFocusIntensity	FociCount
298	298	14710	3.869	12429.617	22	0.000	0
299	299	11753	4.159	13525.981	22	0.000	0
300	300	12519	3.706	16680.330	23	0.000	0
301	301	17894	3.882	10308.550	23	0.000	0
302	302	11722	3.811	18230.449	23	5937.000	2
303	303	12492	3.768	15611.573	23	7620.000	2
304	304	24941	3.921	13343.165	23	0.000	0
305	305	18246	160.345	15003.315	23	12288.000	1
306	306	25297	3.803	13815.754	23	0.000	0
307	307	12518	3.935	18244.828	23	23980.000	1
308	308	12943	3.933	15729.898	23	7876.000	1
309	309	14431	3.862	14698.428	23	0.000	0
310	310	12175	3.898	22461.133	23	0.000	0
311	311	19128	3.835	9488.091	23	0.000	0
312	312	14683	3.785	13307.874	23	0.000	0
313	313	12279	4.022	15821.516	23	0.000	0
314	314	17875	5.401	9697.307	24	0.000	0
315	315	18346	72.997	9368.368	24	5770.200	10
316	316	18115	72.147	9653.581	24	0.000	0
317	317	22664	160.515	10583.092	24	0.000	0
318	318	14783	13.661	12868.708	24	0.000	0
319	319	16880	80.533	11902.437	24	6173.727	11
320	320	16657	89.182	11373.477	24	4492.750	4
321	321	22378	175.282	10659.236	24	0.000	0
322	322	17991	125.903	11109.899	24	4851.500	2
323	323	17897	139.807	11722.397	24	0.000	0
324	324	21276	212.896	12167.742	24	0.000	0
325	325	16785	108.319	7174.405	25	4802.750	4
326	326	17296	86.754	8009.457	25	4831.000	1
327	327	18436	93.755	8295.683	25	5290.909	11
328	328	14701	183.408	10922.062	25	3938.000	1
329	329	15565	198.782	10266.417	25	4822.333	3
330	330	18200	4.158	7696.187	25	7344.545	11
331	331	15916	115.688	10045.041	25	6647.857	7
332	332	15807	208.368	9612.965	25	5021.500	4
333	333	15450	3.843	10593.919	25	5178.923	13
334	334	17812	4.114	8555.491	25	0.000	0
335	335	19084	4.389	8166.203	25	5036.000	1
336	336	13411	4.224	10500.421	25	0.000	0
337	337	14988	5.620	7958.202	26	0.000	0
338	338	12825	4.511	16945.653	26	0.000	0
339	339	12549	4.563	10257.409	26	0.000	0
340	340	13330	4.656	9603.405	26	0.000	0
341	341	12098	7.040	9224.194	26	0.000	0
342	342	16874	226.490	10205.061	26	5274.714	7
343	343	16475	213.236	11283.692	26	4954.273	11
344	344	12212	5.751	10827.222	26	0.000	0
345	345	10934	5.677	17027.654	26	0.000	0
346	346	15546	102.400	10288.252	26	5607.714	7
347	347	13796	137.686	11738.107	26	5292.750	4
348	348	15451	200.470	11379.151	26	4826.400	10
349	349	15870	163.423	10933.613	26	5257.909	11
350	350	13837	7.277	9310.953	26	0.000	0
351	351	15947	188.148	13862.773	26	7098.500	2
352	352	18178	230.502	10223.222	26	0.000	0
353	353	12988	5.516	11625.170	27	4904.000	1
354	354	16967	6.677	8869.300	27	4146.000	3
355	355	14420	5.791	10404.694	27	4447.000	2
356	356	15359	198.898	11784.772	27	6372.667	18
357	357	12778	192.213	15356.688	27	5859.579	19
358	358	16620	203.425	12039.869	27	6358.375	24
359	359	12575	77.527	10966.319	27	8245.789	19
360	360	9339	6.521	19325.481	27	0.000	0
361	361	14636	11.281	10896.559	27	9023.391	23
362	362	8637	8.491	23720.808	27	6370.000	14
363	363	17323	259.888	12156.812	27	7359.593	27
364	364	10514	6.262	20404.511	27	0.000	0
365	365	19009	5.582	6939.667	28	0.000	0
366	366	18263	4.114	7399.072	28	0.000	0
367	367	16782	4.177	9254.006	28	5934.800	5
368	368	19397	4.492	6934.155	28	0.000	0
369	369	17664	4.064	8007.481	28	6298.000	4
370	370	20531	4.055	8800.623	28	7793.333	3
371	371	10548	4.033	18122.619	28	0.000	0
372	372	18276	4.044	8034.984	28	0.000	0
373	373	20334	4.078	6809.572	28	5366.000	5
374	374	12986	4.020	14285.525	28	0.000	0
375	375	17343	3.976	9082.695	28	0.000	0
376	376	16866	4.186	8790.994	28	0.000	0
377	377	9083	4.169	23913.447	29	0.000	0
378	378	11933	3.959	17732.258	29	0.000	0
379	379	10444	4.725	22384.412	29	0.000	0
380	380	10113	4.176	17441.516	29	0.000	0
381	381	17181	346.149	10572.598	29	9745.923	13
382	382	14016	3.899	11577.108	29	0.000	0
383	383	9629	4.104	24832.878	29	0.000	0
384	384	14408	4.049	11807.402	29	5179.000	2
385	385	13925	4.404	12113.169	29	4024.000	1
386	386	12939	4.363	13573.516	29	0.000	0
387	387	15494	4.049	11683.380	29	8067.000	1
388	388	15013	4.006	11167.566	29	0.000	0
389	389	14509	4.113	11160.322	29	5588.000	3
390	390	14123	4.226	11495.095	29	4895.500	2
391	391	16180	4.081	11875.292	29	6039.556	9
392	392	13644	3.912	11976.702	29	0.000	0
393	393	13554	3.929	10977.154	30	0.000	0
394	394	10947	5.152	20430.012	30	0.000	0
395	395	12151	4.098	12581.635	30	0.000	0
396	396	12649	5.279	12333.024	30	0.000	0
397	397	21826	305.269	9725.937	30	0.000	0
398	398	17432	5.888	10703.005	30	4815.143	7
399	399	20450	259.711	11327.032	30	8679.476	21
400	400	16190	6.476	10796.570	30	7678.545	11
401	401	21573	387.591	10476.118	30	3918.000	1
402	402	12698	6.434	13946.393	30	0.000	0
403	403	19066	303.769	13723.947	30	7824.067	15
404	404	14216	5.923	12112.725	30	0.000	0
405	405	10789	5.798	17481.031	30	0.000	0
406	406	10708	5.058	21825.551	30	3975.000	1
