## ROI	Slice	EdU	FociPerCell	FociPerCellNoise	Condition
238	25	10519.148842414492	0	0.0	shSTN1_H2O2
239	25	288.8291567897054	0	0.5	shSTN1_H2O2
240	25	14533.314547013433	4	4.5	shSTN1_H2O2
241	25	286.47150680876257	0	0.5	shSTN1_H2O2
242	25	288.625567120363	0	0.5	shSTN1_H2O2
243	25	3265.168056968464	28	27.5	shSTN1_H2O2
244	25	272.97393967033685	0	0.0	shSTN1_H2O2
245	25	299.6709604519774	0	0.5	shSTN1_H2O2
246	25	286.1998551774077	1	1.0	shSTN1_H2O2
247	26	280.8255956357159	4	4.5	shSTN1
248	26	276.9218511242087	0	0.0	shSTN1
249	26	298.18438455521584	0	0.0	shSTN1
250	26	3352.483845715912	17	16.5	shSTN1
251	26	280.88062764031383	2	2.0	shSTN1
252	26	275.90784382694335	0	0.5	shSTN1
253	26	289.60146070213295	0	-0.5	shSTN1
254	26	274.9828994869846	0	-0.5	shSTN1
255	26	340.7001708870592	0	-0.5	shSTN1
256	26	303.43203117750767	0	0.0	shSTN1
257	26	8753.982291419063	21	21.5	shSTN1
258	26	1238.810361896381	16	16.5	shSTN1
259	26	310.5262974330357	1	1.0	shSTN1
260	27	5214.263949569342	12	12.0	shSTN1
261	27	458.60871893744644	0	0.0	shSTN1
262	27	7133.63787188572	26	26.5	shSTN1
263	27	17971.481117950425	4	4.0	shSTN1
264	27	543.4072917545784	0	0.0	shSTN1
265	27	335.5425824175824	0	0.5	shSTN1
266	27	377.4154106428791	0	0.0	shSTN1
267	27	453.93342311253264	0	0.0	shSTN1
268	27	20315.541778288047	18	17.5	shSTN1
269	27	343.8419394363732	0	-0.5	shSTN1
270	27	299.1437318723816	0	0.0	shSTN1
271	27	16695.91721622001	18	18.0	shSTN1
272	27	12813.99917774428	1	1.0	shSTN1
273	27	345.4917302798982	0	0.5	shSTN1
274	27	19077.455620910714	18	17.5	shSTN1
275	27	19441.12487073423	19	18.5	shSTN1
276	28	265.88560852293244	0	0.0	shSTN1
277	28	278.11252151463	0	0.5	shSTN1
278	28	286.94019026090234	0	-0.5	shSTN1
279	28	3419.0007595074053	17	17.0	shSTN1
280	28	270.46741672460655	0	0.0	shSTN1
281	28	267.6772498857926	7	7.0	shSTN1
282	28	272.7513491904857	0	-0.5	shSTN1
283	28	267.61627232286764	1	0.5	shSTN1
284	28	273.6442736088058	0	0.0	shSTN1
285	28	266.4229102956167	0	0.0	shSTN1
286	28	274.46055293324343	0	-0.5	shSTN1
287	28	274.4184392117806	0	0.5	shSTN1
288	28	276.5150574829586	2	1.5	shSTN1
289	29	349.7332538736591	7	7.0	shSTN1
290	29	358.3183074633213	0	0.5	shSTN1
291	29	15199.395702235908	12	12.0	shSTN1
292	29	4010.890826383624	16	16.0	shSTN1
293	29	15616.471506808763	24	24.0	shSTN1
294	29	20000.462167906484	42	42.5	shSTN1
295	29	10047.580858421481	21	21.5	shSTN1
296	29	17344.899946811653	42	41.5	shSTN1
297	30	17612.673686331804	5	4.5	shSTN1
298	30	271.8985703409187	0	0.5	shSTN1
299	30	286.0239592692423	0	0.0	shSTN1
300	30	15605.628375482213	2	2.0	shSTN1
301	30	266.91982154238366	0	0.5	shSTN1
302	30	275.2054823933581	0	-0.5	shSTN1
303	30	274.45743885506783	0	-0.5	shSTN1
304	30	280.5432608239491	0	0.0	shSTN1
305	30	272.1241078759553	0	0.0	shSTN1
306	30	278.3738238535221	0	-0.5	shSTN1
307	30	436.6465645081562	3	3.5	shSTN1
308	30	277.98257881014456	0	0.0	shSTN1
309	30	15068.811847441539	6	6.0	shSTN1
310	30	297.70628873310983	0	0.0	shSTN1
